hid,size,occupants,race
0,3,"[36599, 42683, 5173]",Asian
1,1,[28077],Asian
2,3,"[42470, 28667, 24477]",Asian
3,1,[34212],Asian
4,2,"[6246, 16294]",Asian
5,3,"[22155, 43897, 23294]",Asian
6,2,"[3820, 30999]",Asian
7,2,"[19438, 29796]",Asian
8,1,[17206],Asian
9,1,[8513],Asian
10,1,[28835],Asian
11,1,[18123],Asian
12,4,"[23664, 14661, 34697, 4988]",Asian
13,2,"[31602, 35652]",Asian
14,3,"[21793, 19705, 37259]",Asian
15,3,"[33762, 12358, 11248]",Asian
16,1,[11992],Asian
17,3,"[8548, 16504, 17781]",Asian
18,1,[20218],Asian
19,3,"[23412, 19384, 19703]",Asian
20,4,"[13332, 42135, 29548, 29554]",Asian
21,1,[20889],Asian
22,3,"[3674, 38003, 11752]",Asian
23,1,[31608],Asian
24,2,"[7792, 31884]",Asian
25,1,[33571],Asian
26,1,[44065],Asian
27,7,"[40169, 27306, 32141, 40824, 11213, 185, 22845]",Asian
28,1,[519],Asian
29,2,"[16684, 25497]",Asian
30,2,"[15533, 18405]",Asian
31,3,"[24177, 29483, 490]",Asian
32,1,[7488],Asian
33,6,"[36513, 42642, 345, 15536, 7306, 40469]",Asian
34,2,"[22611, 13326]",Asian
35,3,"[31395, 24975, 42536]",Asian
36,5,"[2824, 13836, 14037, 30723, 11543]",Asian
37,2,"[3843, 16960]",Asian
38,2,"[13793, 13022]",Asian
39,3,"[808, 34717, 8876]",Asian
40,1,[16143],Asian
41,1,[42495],Asian
42,2,"[5878, 9294]",Asian
43,2,"[35596, 17801]",Asian
44,3,"[24679, 13321, 2694]",Asian
45,1,[27912],Asian
46,1,[24977],Asian
47,1,[2581],Asian
48,4,"[20027, 43954, 9563, 4050]",Asian
49,4,"[26462, 11595, 30878, 41361]",Asian
50,2,"[43496, 27465]",Asian
51,5,"[22517, 43094, 20887, 21820, 2769]",Asian
52,3,"[35283, 37346, 22773]",Asian
53,4,"[41878, 21157, 520, 11784]",Asian
54,4,"[26408, 25479, 31194, 12508]",Asian
55,4,"[42712, 36482, 10165, 14093]",Asian
56,1,[8590],Asian
57,2,"[32809, 3379]",Asian
58,3,"[34901, 9015, 14463]",Asian
59,2,"[22196, 29335]",Asian
60,2,"[20227, 39903]",Asian
61,4,"[17122, 25102, 32129, 34819]",Asian
62,2,"[18727, 28521]",Asian
63,1,[35268],Asian
64,2,"[35090, 39039]",Asian
65,4,"[35685, 36748, 39703, 19870]",Asian
66,2,"[37037, 12790]",Asian
67,7,"[13499, 29313, 24003, 12330, 30126, 9485, 25404]",Asian
68,4,"[31718, 9172, 17143, 41253]",Asian
69,2,"[1572, 16872]",Asian
70,2,"[34535, 31467]",Asian
71,5,"[5263, 20923, 30204, 30970, 28507]",Asian
72,4,"[16655, 41558, 41975, 1783]",Asian
73,2,"[42302, 25596]",Asian
74,4,"[18952, 37963, 9475, 37786]",Asian
75,2,"[22932, 4440]",Asian
76,1,[36848],Asian
77,2,"[35810, 43708]",Asian
78,6,"[913, 11827, 3367, 42542, 15892, 365]",Asian
79,1,[43299],Asian
80,2,"[21214, 26508]",Asian
81,1,[25251],Asian
82,2,"[25839, 39628]",Asian
83,1,[12371],Asian
84,1,[21507],Asian
85,2,"[13482, 34447]",Asian
86,1,[25158],Asian
87,3,"[37592, 42687, 14892]",Asian
88,2,"[38489, 9635]",Asian
89,2,"[38201, 25781]",Asian
90,1,[23726],Asian
91,2,"[41421, 4774]",Asian
92,1,[30649],Asian
93,1,[3781],Asian
94,2,"[8619, 38311]",Asian
95,1,[14649],Asian
96,4,"[30521, 41196, 29948, 1962]",Asian
97,2,"[6123, 5948]",Asian
98,2,"[3473, 28380]",Asian
99,7,"[6316, 25999, 41034, 6048, 18775, 293, 22149]",Asian
100,7,"[1127, 7183, 33169, 19966, 41546, 42864, 15113]",Asian
101,3,"[37188, 3236, 26877]",Asian
102,2,"[43656, 1021]",Asian
103,1,[6218],Asian
104,5,"[39715, 26222, 13772, 149, 34966]",Asian
105,1,[43607],Asian
106,1,[7513],Asian
107,2,"[13653, 39216]",Asian
108,2,"[15072, 7976]",Asian
109,4,"[19275, 22411, 39344, 32678]",Asian
110,2,"[9596, 685]",Asian
111,1,[40521],Asian
112,2,"[29265, 43158]",Asian
113,1,[32975],Asian
114,5,"[15445, 42121, 35122, 2750, 10540]",Asian
115,3,"[18425, 52, 10592]",Asian
116,4,"[22079, 22036, 3155, 12807]",Asian
117,2,"[2664, 24383]",Asian
118,2,"[8898, 5549]",Asian
119,3,"[16252, 27211, 397]",Asian
120,3,"[41542, 38235, 12505]",Asian
121,4,"[41342, 24269, 25610, 12036]",Asian
122,1,[11731],Asian
123,5,"[38593, 18294, 894, 15156, 20175]",Asian
124,3,"[38606, 32148, 27822]",Asian
125,6,"[42845, 2029, 14289, 14759, 33241, 36305]",Asian
126,1,[27774],Asian
127,1,[550],Asian
128,2,"[40699, 9613]",Asian
129,3,"[350, 30511, 30717]",Asian
130,5,"[38401, 23434, 44021, 1745, 9979]",Asian
131,1,[15040],Asian
132,3,"[38301, 31790, 7188]",Asian
133,2,"[2738, 19688]",Asian
134,2,"[19271, 22305]",Asian
135,1,[5959],Asian
136,2,"[20973, 24901]",Asian
137,1,[37159],Asian
138,5,"[36700, 17418, 22824, 30770, 20357]",Asian
139,3,"[40100, 27278, 36464]",Asian
140,2,"[4684, 44221]",Asian
141,1,[16382],Asian
142,3,"[30798, 23663, 6825]",Asian
143,3,"[41265, 31996, 989]",Asian
144,7,"[12910, 10998, 13092, 788, 29344, 9009, 3847]",Asian
145,2,"[3701, 1183]",Asian
146,2,"[18630, 31640]",Asian
147,2,"[25284, 35647]",Asian
148,1,[8378],Asian
149,3,"[11963, 5032, 6630]",Asian
