uid,age,gender,race
1,34,Female,Black
2,13,Female,White
3,77,Male,White
4,8,Female,Hispanic
5,63,Female,White
6,18,Female,Black
7,33,Female,Black
8,35,Female,Black
9,30,Female,Hispanic
10,11,Male,White
11,40,Female,Black
12,58,Female,Black
13,32,Female,White
14,65,Female,White
15,18,Male,Hispanic
16,0,Male,Hispanic
17,99,Female,Hispanic
18,25,Female,Hispanic
19,18,Male,White
20,44,Female,White
21,8,Male,White
22,47,Male,White
23,5,Male,Hispanic
24,73,Female,Hispanic
25,14,Male,White
26,38,Male,White
27,8,Female,White
28,76,Female,White
29,43,Male,White
30,57,Female,Hispanic
31,0,Male,White
32,26,Female,White
33,14,Female,Black
34,54,Male,White
35,5,Female,Two
36,27,Female,White
37,48,Female,Hispanic
38,17,Male,White
39,53,Male,Hispanic
40,58,Female,White
41,65,Female,Asian
42,4,Male,White
43,2,Female,White
44,57,Female,White
45,47,Female,Black
46,17,Female,Hispanic
47,36,Female,White
48,17,Male,Black
49,25,Female,Hispanic
50,45,Female,White
51,23,Male,Hispanic
52,45,Male,Asian
53,23,Female,Asian
54,93,Female,Black
55,50,Female,White
56,16,Male,White
57,61,Female,White
58,35,Female,Hispanic
59,6,Male,White
60,18,Male,Black
61,12,Male,White
62,34,Female,White
63,50,Female,Hispanic
64,26,Female,White
65,38,Male,Hispanic
66,23,Female,White
67,48,Female,White
68,6,Male,Hispanic
69,45,Female,White
70,35,Male,White
71,75,Male,Hispanic
72,43,Male,Black
73,46,Female,Black
74,60,Male,Black
75,66,Female,Hispanic
76,41,Female,Black
77,12,Female,White
78,30,Female,Black
79,91,Male,White
80,68,Male,White
81,53,Male,White
82,28,Female,White
83,36,Male,Hispanic
84,4,Female,Black
85,21,Male,White
86,7,Female,Two
87,1,Male,White
88,60,Male,White
89,38,Female,Black
90,41,Male,White
91,32,Male,Two
92,77,Male,White
93,34,Male,Black
94,18,Female,White
95,48,Male,Black
96,47,Female,Hispanic
97,34,Female,White
98,33,Female,Hispanic
99,64,Female,White
100,43,Male,White
101,1,Female,Black
102,3,Male,White
103,61,Female,Black
104,74,Female,White
105,4,Female,Black
106,32,Male,Black
107,42,Male,White
108,41,Male,White
109,95,Female,Hispanic
110,28,Male,Two
111,13,Female,White
112,62,Male,White
113,41,Female,Black
114,45,Male,Hispanic
115,43,Female,White
116,12,Male,White
117,2,Male,Hispanic
118,57,Male,Black
119,21,Male,White
120,61,Male,Hispanic
121,27,Female,Two
122,60,Female,White
123,16,Female,Black
124,40,Female,Hispanic
125,44,Male,White
126,14,Female,Black
127,62,Male,Hispanic
128,10,Male,Black
129,90,Male,White
130,44,Female,Black
131,14,Female,White
132,22,Female,White
133,10,Female,White
134,47,Female,White
135,63,Male,White
136,24,Male,White
137,64,Male,Asian
138,54,Female,Hispanic
139,7,Male,White
140,7,Female,White
141,1,Female,White
142,27,Male,Hispanic
143,57,Female,White
144,53,Female,Black
145,15,Female,White
146,32,Female,White
147,54,Female,White
148,28,Female,White
149,25,Male,Asian
150,40,Male,Hispanic
151,76,Female,Two
152,16,Male,White
153,36,Female,White
154,55,Female,White
155,53,Male,White
156,45,Female,White
157,56,Male,White
158,34,Male,Hispanic
159,86,Female,Black
160,4,Male,White
161,36,Female,Black
162,3,Female,White
163,26,Female,Hispanic
164,16,Female,Hispanic
165,32,Female,White
166,16,Male,White
167,31,Female,White
168,60,Female,Black
169,95,Female,Asian
170,58,Female,White
171,73,Female,White
172,12,Female,White
173,56,Male,White
174,67,Female,Hispanic
175,38,Female,Hispanic
176,25,Female,Black
177,96,Male,White
178,32,Male,White
179,47,Female,White
180,11,Female,Hispanic
181,52,Female,White
182,56,Male,White
183,78,Female,White
184,40,Male,White
185,30,Male,Asian
186,11,Male,White
187,25,Male,Hispanic
188,31,Female,Other
189,26,Male,White
190,71,Female,White
191,91,Female,White
192,54,Male,Hispanic
193,50,Male,Black
194,15,Male,White
195,73,Female,White
196,33,Male,Hispanic
197,36,Male,Hispanic
198,12,Female,Other
199,20,Male,Two
200,48,Male,Hispanic
201,54,Male,White
202,34,Male,Hispanic
203,31,Male,White
204,83,Female,White
205,3,Female,White
206,22,Female,Hispanic
207,15,Male,White
208,57,Male,White
209,62,Male,Black
210,41,Female,Black
211,13,Male,White
212,17,Female,White
213,76,Male,White
214,20,Female,Hispanic
215,48,Male,Hispanic
216,55,Male,White
217,28,Male,White
218,16,Female,Two
219,61,Female,White
220,57,Female,White
221,34,Female,Asian
222,64,Male,White
223,41,Female,White
224,31,Male,Hispanic
225,2,Female,Black
226,57,Female,Hispanic
227,94,Female,Asian
228,2,Male,White
229,75,Female,White
230,47,Female,White
231,60,Female,Hispanic
232,42,Female,White
233,3,Female,White
234,18,Male,White
235,35,Female,Hispanic
236,77,Male,White
237,37,Male,White
238,38,Male,White
239,44,Female,White
240,25,Female,Hispanic
241,36,Male,White
242,70,Male,Hispanic
243,38,Male,Black
244,33,Female,White
245,35,Male,White
246,55,Female,White
247,2,Male,White
248,40,Male,Hispanic
249,13,Female,White
250,55,Female,White
251,20,Male,Black
252,6,Male,Black
253,20,Female,White
254,5,Female,Asian
255,47,Female,White
256,70,Male,Hispanic
257,24,Male,Hispanic
258,21,Female,Hispanic
259,13,Male,Hispanic
260,10,Female,White
261,11,Female,Black
262,5,Male,Hispanic
263,33,Male,White
264,4,Female,Black
265,27,Male,White
266,17,Female,Black
267,42,Female,Hispanic
268,8,Female,Black
269,23,Male,White
270,86,Male,White
271,26,Female,White
272,24,Male,Hispanic
273,23,Female,Black
274,51,Female,Hispanic
275,11,Male,Hispanic
276,47,Female,White
277,45,Female,White
278,70,Female,Black
279,33,Male,Black
280,0,Male,White
281,43,Female,Asian
282,64,Female,White
283,76,Female,White
284,30,Male,Hispanic
285,55,Male,Black
286,21,Female,Black
287,26,Male,Hispanic
288,30,Male,White
289,65,Male,White
290,75,Female,Black
291,47,Female,White
292,56,Female,Two
293,3,Female,Asian
294,23,Female,Black
295,78,Female,Black
296,70,Female,Hispanic
297,14,Male,White
298,62,Male,Two
299,4,Male,White
300,22,Male,Hispanic
301,52,Male,Hispanic
302,6,Male,Black
303,47,Female,Black
304,31,Female,White
305,37,Male,Black
306,75,Female,White
307,4,Male,White
308,3,Female,Hispanic
309,25,Male,Black
310,18,Female,Black
311,24,Male,White
312,34,Female,Black
313,58,Female,White
314,12,Female,White
315,52,Male,Hispanic
316,30,Male,Hispanic
317,38,Male,Two
318,31,Male,White
319,28,Female,Black
320,4,Male,Black
321,14,Male,White
322,33,Female,Black
323,10,Female,White
324,22,Male,White
325,7,Female,White
326,60,Male,Hispanic
327,75,Male,White
328,75,Female,White
329,16,Female,White
330,15,Female,Hispanic
331,60,Male,White
332,18,Male,Black
333,0,Male,Two
334,15,Male,White
335,78,Female,White
336,43,Female,Hispanic
337,58,Female,White
338,7,Female,Black
339,52,Male,Hispanic
340,31,Female,Black
341,30,Female,Hispanic
342,68,Female,Hispanic
343,30,Female,Black
344,47,Female,Hispanic
345,60,Female,Asian
346,71,Female,Hispanic
347,45,Male,Asian
348,42,Male,Hispanic
349,43,Male,Hispanic
350,20,Female,Asian
351,78,Female,White
352,46,Female,Hispanic
353,24,Male,White
354,76,Female,White
355,44,Female,Hispanic
356,54,Female,Black
357,53,Female,White
358,15,Male,White
359,16,Male,White
360,27,Female,Hispanic
361,24,Female,White
362,18,Male,White
363,22,Female,White
364,13,Female,Hispanic
365,32,Male,Asian
366,14,Male,White
367,5,Male,Black
368,45,Female,White
369,23,Female,Hispanic
370,42,Female,Black
371,27,Female,White
372,20,Female,White
373,78,Female,White
374,45,Male,White
375,7,Male,Hispanic
376,7,Female,Hispanic
377,15,Male,White
378,8,Female,Hispanic
379,5,Male,Black
380,27,Male,Hispanic
381,37,Female,White
382,37,Female,Black
383,6,Male,Hispanic
384,5,Male,White
385,18,Female,White
386,61,Male,White
387,40,Male,Hispanic
388,3,Male,Black
389,62,Male,Hispanic
390,67,Male,Native
391,2,Male,White
392,13,Male,Hispanic
393,15,Female,Hispanic
394,42,Male,White
395,42,Female,White
396,8,Female,White
397,22,Male,Asian
398,48,Female,Hispanic
399,55,Female,Hispanic
400,44,Male,Hispanic
401,56,Male,Hispanic
402,21,Female,White
403,18,Female,Two
404,44,Female,White
405,70,Female,Hispanic
406,5,Female,White
407,18,Female,Hispanic
408,60,Male,White
409,34,Male,Hispanic
410,33,Male,White
411,72,Male,White
412,34,Female,Black
413,20,Female,Black
414,32,Female,Black
415,23,Female,White
416,46,Male,Black
417,40,Female,Two
418,26,Female,White
419,3,Male,Hispanic
420,12,Female,Black
421,30,Male,White
422,24,Female,Black
423,34,Female,White
424,51,Female,Black
425,76,Male,Hispanic
426,24,Male,Hispanic
427,13,Male,White
428,53,Male,Hispanic
429,2,Male,Hispanic
430,61,Male,Asian
431,25,Male,White
432,51,Female,Hispanic
433,40,Female,Black
434,33,Male,Hispanic
435,58,Female,Black
436,35,Female,White
437,5,Male,White
438,46,Male,Hispanic
439,24,Female,White
440,56,Male,White
441,40,Male,White
442,15,Female,Hispanic
443,34,Male,White
444,8,Male,Asian
445,25,Male,White
446,50,Female,White
447,34,Female,Hispanic
448,18,Female,White
449,41,Female,White
450,26,Female,Hispanic
451,40,Female,White
452,10,Female,White
453,44,Female,Hispanic
454,95,Female,White
455,34,Male,Black
456,62,Female,Hispanic
457,56,Male,Hispanic
458,48,Male,Hispanic
459,16,Female,White
460,6,Male,Hispanic
461,78,Female,White
462,34,Female,Black
463,47,Female,White
464,96,Male,White
465,87,Female,White
466,0,Male,Hispanic
467,36,Male,White
468,74,Female,White
469,25,Female,White
470,57,Female,White
471,46,Male,Hispanic
472,32,Male,Hispanic
473,6,Male,Hispanic
474,38,Male,Hispanic
475,30,Female,White
476,21,Male,White
477,36,Female,White
478,74,Female,White
479,38,Female,Black
480,70,Female,Hispanic
481,70,Male,White
482,36,Male,Hispanic
483,27,Male,Hispanic
484,5,Male,Hispanic
485,20,Male,White
486,56,Female,White
487,14,Male,White
488,96,Female,White
489,78,Female,Hispanic
490,55,Male,Asian
491,73,Male,White
492,1,Male,Black
493,2,Female,Hispanic
494,6,Male,Black
495,68,Female,White
496,21,Female,Black
497,18,Female,Black
498,88,Female,White
499,54,Male,Black
500,10,Male,Hispanic
501,68,Female,White
502,3,Male,White
503,21,Male,White
504,24,Male,Asian
505,71,Male,Asian
506,30,Female,Hispanic
507,89,Female,White
508,54,Female,White
509,63,Female,Two
510,58,Female,White
511,15,Male,White
512,32,Female,White
513,61,Male,White
514,63,Male,Black
515,26,Female,White
516,37,Female,Black
517,35,Male,White
518,41,Male,Hispanic
519,13,Female,Asian
520,98,Male,Asian
521,43,Female,Black
522,25,Male,Hispanic
523,32,Male,Black
524,64,Female,Black
525,33,Female,White
526,68,Female,Black
527,40,Female,White
528,20,Male,Hispanic
529,17,Female,Other
530,71,Female,Hispanic
531,25,Male,Black
532,30,Female,White
533,23,Female,White
534,68,Male,Two
535,25,Male,Hispanic
536,61,Male,Hispanic
537,21,Female,Hispanic
538,54,Male,White
539,75,Female,White
540,23,Female,White
541,44,Female,White
542,38,Male,White
543,2,Female,White
544,99,Male,White
545,6,Female,Hispanic
546,62,Male,White
547,33,Male,White
548,1,Female,Hispanic
549,21,Female,Hispanic
550,17,Male,Asian
551,58,Male,Black
552,33,Male,White
553,60,Male,White
554,24,Male,Hispanic
555,26,Male,White
556,36,Male,White
557,67,Female,Hispanic
558,84,Female,White
559,47,Female,Hispanic
560,63,Female,White
561,62,Female,Hispanic
562,56,Female,Hispanic
563,18,Male,Hispanic
564,72,Female,White
565,36,Male,Hispanic
566,55,Female,Hispanic
567,68,Female,Hispanic
568,2,Male,White
569,35,Female,White
570,54,Male,Black
571,95,Male,Hispanic
572,44,Female,Hispanic
573,21,Male,White
574,18,Male,Black
575,30,Female,Hispanic
576,11,Female,White
577,12,Female,White
578,65,Male,Black
579,48,Female,Two
580,14,Male,White
581,99,Female,White
582,41,Male,White
583,92,Male,Black
584,44,Male,White
585,27,Male,Hispanic
