uid,age,gender,race
1,45,Male,White
2,21,Female,White
3,61,Male,Hispanic
4,47,Female,Black
5,16,Male,Hispanic
6,12,Male,Hispanic
7,27,Female,White
8,3,Male,White
9,66,Female,Hispanic
10,37,Female,Black
11,71,Female,Black
12,15,Female,Black
13,40,Male,Hispanic
14,17,Female,White
15,26,Female,Hispanic
16,34,Male,Black
17,65,Male,Black
18,32,Male,White
19,31,Male,Hispanic
20,22,Male,White
21,53,Female,Other
22,74,Female,White
23,38,Female,White
24,66,Male,White
25,31,Female,White
26,15,Male,Hispanic
27,0,Female,Hispanic
28,71,Female,Black
29,34,Male,White
30,21,Female,White
31,48,Female,Hispanic
32,40,Male,White
33,60,Male,Black
34,54,Female,Hispanic
35,5,Female,White
36,55,Female,White
37,66,Male,White
38,68,Male,Hispanic
39,38,Female,Hispanic
40,56,Female,White
41,48,Female,White
42,15,Male,White
43,76,Female,White
44,8,Female,White
45,6,Male,Hispanic
46,58,Male,Hispanic
47,24,Male,White
48,3,Male,Black
49,61,Male,Black
50,89,Female,White
51,17,Female,White
52,40,Female,White
53,44,Male,Hispanic
54,31,Male,Black
55,57,Female,White
56,48,Male,White
57,35,Male,White
58,0,Female,Black
59,10,Female,White
60,43,Male,Black
61,4,Male,Hispanic
62,11,Female,White
63,7,Male,White
64,18,Female,White
65,15,Male,White
66,47,Male,Hispanic
67,43,Male,Hispanic
68,37,Male,Hispanic
69,43,Female,White
70,95,Female,White
71,25,Female,Hispanic
72,50,Male,Other
73,68,Male,Black
74,74,Male,White
75,32,Male,Black
76,18,Male,White
77,55,Female,Hispanic
78,20,Female,Hispanic
79,20,Male,Hispanic
80,8,Male,White
81,54,Male,Other
82,62,Female,Black
83,76,Female,Black
84,13,Female,White
85,47,Male,White
86,62,Female,White
87,15,Male,White
88,66,Male,Black
89,35,Male,Asian
90,14,Female,Hispanic
91,60,Male,Black
92,57,Female,White
93,52,Male,Hispanic
94,54,Female,White
95,2,Male,Hispanic
96,23,Male,Hispanic
97,0,Female,Hispanic
98,70,Female,White
99,25,Female,Black
100,63,Male,Hispanic
101,30,Female,White
102,13,Female,White
103,4,Male,White
104,55,Female,Hispanic
105,21,Male,Hispanic
106,17,Female,White
107,64,Male,White
108,62,Male,White
109,65,Male,White
110,46,Male,Hispanic
111,10,Female,White
112,40,Female,Hispanic
113,43,Male,White
114,27,Female,White
115,77,Male,Hispanic
116,45,Female,White
117,26,Female,Black
118,45,Female,Hispanic
119,38,Female,White
120,70,Female,Black
121,34,Male,White
122,0,Female,White
123,42,Female,White
124,77,Male,Hispanic
125,72,Male,White
126,6,Male,Asian
127,11,Female,White
128,40,Male,White
129,81,Female,White
130,99,Male,Black
131,30,Male,Black
132,8,Female,Asian
133,43,Male,Hispanic
134,5,Male,Asian
135,41,Male,White
136,66,Female,Black
137,35,Male,Black
138,21,Male,White
139,62,Female,White
140,37,Female,Hispanic
141,48,Female,Asian
142,44,Female,White
143,64,Female,Black
144,48,Male,White
145,58,Male,White
